Task Name,Owner,Role,Due Day,SLA,Status,Evidence,BIR Form,Description
Download Bank Statements,Accounting Staff,Executor,Day 1,2 hours,pending,Bank statement PDFs saved to shared drive,N/A,Download official bank statements for all accounts from online banking portals
Import Bank Transactions,Finance Supervisor,Responsible,Day 1,4 hours,pending,Transaction import log and reconciliation start balance,N/A,Import bank transactions into ERP system and verify opening balances
Match Bank Transactions,Finance Supervisor,Responsible,Day 2,1 day,pending,Reconciliation report showing matched/unmatched items,N/A,Match bank transactions with ERP entries and identify discrepancies
Investigate Unmatched Items,Finance Supervisor,Responsible,Day 2,4 hours,pending,Investigation notes and resolution plan,N/A,Research and resolve unmatched bank transactions
Approve Bank Reconciliation,Senior Finance Manager,Accountable,Day 2,2 hours,pending,Signed reconciliation report and approval in ERP,N/A,Review and approve bank reconciliation for all accounts
Generate AP Aging Report,Accounting Staff,Executor,Day 3,2 hours,pending,AP aging report (30/60/90/120 days),N/A,Run accounts payable aging report from ERP
Reconcile AP Sub-Ledger to GL,Finance Supervisor,Responsible,Day 3,4 hours,pending,AP sub-ledger vs GL reconciliation and variance explanation,N/A,Ensure AP sub-ledger matches general ledger balance
Review Aged Payables,Finance Supervisor,Responsible,Day 3,3 hours,pending,Aged payables review notes and payment schedule,N/A,Review aged payables and identify overdue invoices and plan payments
Generate AR Aging Report,Accounting Staff,Executor,Day 4,2 hours,pending,AR aging report (30/60/90/120 days),N/A,Run accounts receivable aging report from ERP
Reconcile AR Sub-Ledger to GL,Finance Supervisor,Responsible,Day 4,4 hours,pending,AR sub-ledger vs GL reconciliation and variance explanation,N/A,Ensure AR sub-ledger matches general ledger balance
Review Aged Receivables & Bad Debt,Senior Finance Manager,Accountable,Day 4,3 hours,pending,Aged receivables review and bad debt provision calculation,N/A,Review aged receivables and assess collectability and calculate bad debt provision
Update Fixed Asset Register,Accounting Staff,Executor,Day 5,3 hours,pending,Updated fixed asset register and addition/disposal records,N/A,Record new asset purchases and disposals and transfers
Calculate Monthly Depreciation,Finance Supervisor,Responsible,Day 5,4 hours,pending,Depreciation calculation worksheet and expense allocation,N/A,Calculate depreciation expense for all assets using straight-line method
Post Depreciation Journal Entries,Finance Supervisor,Responsible,Day 6,2 hours,pending,Depreciation JE batch and posting confirmation,N/A,Post depreciation journal entries to general ledger
Reconcile Fixed Assets Sub-Ledger to GL,Finance Supervisor,Responsible,Day 6,3 hours,pending,Fixed assets sub-ledger vs GL reconciliation,N/A,Ensure fixed assets sub-ledger matches GL balances
Conduct Physical Inventory Count,Accounting Staff,Executor,Day 7,1 day,pending,Inventory count sheets and variance report,N/A,Perform physical inventory count and record results
Reconcile Inventory System to Physical Count,Finance Supervisor,Responsible,Day 7,4 hours,pending,Inventory reconciliation report and adjustment list,N/A,Compare system inventory to physical count and identify discrepancies
Post Inventory Adjustments,Finance Supervisor,Responsible,Day 8,2 hours,pending,Inventory adjustment JEs and approval documentation,N/A,Post journal entries for inventory variances and write-offs
Calculate Cost of Goods Sold,Finance Supervisor,Responsible,Day 8,3 hours,pending,COGS calculation worksheet and period summary,N/A,Calculate COGS using weighted average or FIFO method
Prepare Recurring Journal Entries,Finance Supervisor,Responsible,Day 9,3 hours,pending,Recurring JE batch and supporting schedules,N/A,Prepare standard monthly recurring entries (rent and insurance)
Prepare Accrual Journal Entries,Finance Supervisor,Responsible,Day 9,4 hours,pending,Accrual JE batch and expense recognition schedules,N/A,Prepare accrual entries for expenses incurred but not yet invoiced
Prepare Prepayment Amortization Entries,Finance Supervisor,Responsible,Day 9,2 hours,pending,Prepayment amortization schedule and JE batch,N/A,Amortize prepaid expenses (insurance and rent and subscriptions)
Review & Approve All Journal Entries,Senior Finance Manager,Accountable,Day 10,4 hours,pending,Approved JE batches and review notes,N/A,Review all month-end journal entries for accuracy and completeness
Post All Journal Entries,Finance Supervisor,Responsible,Day 10,2 hours,pending,JE posting confirmation and general ledger update log,N/A,Post all approved journal entries to general ledger
Extract Withholding Tax Data,Accounting Staff,Executor,Day 10,2 hours,pending,Withholding tax summary report and employee/vendor breakdown,1601-C,Extract compensation withholding tax data from payroll system
Prepare Form 1601-C,Finance Supervisor,Responsible,Day 10,3 hours,pending,Completed Form 1601-C and supporting schedules,1601-C,Complete BIR Form 1601-C (Monthly Remittance Return of Income Taxes Withheld on Compensation)
