BIR Form,Period Covered,BIR Filing & Payment Deadline,Prep & File Request (Finance Supervisor),Report Approval (Senior Finance Manager),Payment Approval (Finance Director)
1601-C (Compensation),Dec 2025,Jan 10 2026,Jan 9,Jan 10,Jan 13
1601-C / 0619-E,Jan 2026,Feb 10 2026,Feb 9,Feb 10,Feb 11
1601-C / 0619-E,Feb 2026,Mar 10 2026,Mar 9,Mar 10,Mar 11
1601-C / 0619-E,Mar 2026,Apr 10 2026,Apr 9,Apr 10,Apr 11
1601-C / 0619-E,Apr 2026,May 10 2026,May 9,May 10,May 11
1601-C / 0619-E,May 2026,Jun 10 2026,Jun 9,Jun 10,Jun 11
1601-C / 0619-E,Jun 2026,Jul 10 2026,Jul 9,Jul 10,Jul 11
1601-C / 0619-E,Jul 2026,Aug 10 2026,Aug 9,Aug 10,Aug 11
1601-C / 0619-E,Aug 2026,Sep 10 2026,Sep 9,Sep 10,Sep 11
1601-C / 0619-E,Sep 2026,Oct 10 2026 (12 if Sat),Oct 9,Oct 10,Oct 11
1601-C / 0619-E,Oct 2026,Nov 10 2026,Nov 9,Nov 10,Nov 11
1601-C / 0619-E,Nov 2026,Dec 10 2026,Dec 9,Dec 10,Dec 11
1601-C / 0619-E,Dec 2026,Jan 10 2027,Jan 9 2027,Jan 10 2027,Jan 11 2027
1701-Q (Quarterly EWT),Q4 2025,Jan 25 2026,Jan 23,Jan 24,Jan 25
1701-Q (Quarterly EWT),Q1 2026,Apr 25 2026,Apr 23,Apr 24,Apr 25
2550-Q (VAT Quarterly),Q4 2025,Jan 25 2026,Jan 23,Jan 24,Jan 25
2550-Q (VAT Quarterly),Q1 2026,Apr 25 2026 (27 if Sat),Apr 23,Apr 24,Apr 25
1702-Q (Quarterly Income Tax),Q4 2025,Jan 30 2026,Jan 28,Jan 29,Jan 30
1702-Q (Quarterly Income Tax),Q1 2026,Apr 30 2026,Apr 28,Apr 29,Apr 30
2550-Q (VAT Quarterly),Q2 2026,Jul 25 2026 (27 if Sun),Jul 23,Jul 24,Jul 25
1702-Q (Quarterly Income Tax),Q2 2026,Jul 30 2026,Jul 28,Jul 29,Jul 30
2550-Q (VAT Quarterly),Q3 2026,Oct 25 2026 (26 if Sun),Oct 23,Oct 24,Oct 25
1702-Q (Quarterly Income Tax),Q3 2026,Oct 30 2026,Oct 28,Oct 29,Oct 30
1701-Q (EWT / Quarterly EWT),Q3 2026,Oct 30 2026,Oct 28,Oct 29,Oct 30
